,upper,lower
0,NEW YORK,new york
1,CALIFORNIA,california
2,ILLINOIS,illinois
3,FLORIDA,florida
4,TEXAS,texas
5,PENNSYLVANIA,pennsylvania
6,GEORGIA,georgia
7,DISTRICT OF COLUMBIA,district of columbia
8,MASSACHUSETTS,massachusetts
9,ARIZONA,arizona
10,WASHINGTON,washington
11,MICHIGAN,michigan
12,MINNESOTA,minnesota
13,COLORADO,colorado
14,MARYLAND,maryland
15,NEVADA,nevada
16,OREGON,oregon
17,MISSOURI,missouri
18,OHIO,ohio
19,INDIANA,indiana
20,NORTH CAROLINA,north carolina
21,VIRGINIA,virginia
22,WISCONSIN,wisconsin
23,RHODE ISLAND,rhode island
24,UTAH,utah
25,TENNESSEE,tennessee
26,LOUISIANA,louisiana
27,KENTUCKY,kentucky
28,OKLAHOMA,oklahoma
29,CONNECTICUT,connecticut
30,NEBRASKA,nebraska
31,HAWAII,hawaii
32,NEW MEXICO,new mexico
33,ALABAMA,alabama
34,SOUTH CAROLINA,south carolina
35,KANSAS,kansas
36,IOWA,iowa
37,ARKANSAS,arkansas
38,IDAHO,idaho
39,MISSISSIPPI,mississippi
40,PUERTO RICO,puerto rico
41,NEW JERSEY,new jersey
42,ALASKA,alaska
43,NEW HAMPSHIRE,new hampshire
44,NORTH DAKOTA,north dakota
45,MAINE,maine
46,SOUTH DAKOTA,south dakota
47,WEST VIRGINIA,west virginia
48,MONTANA,montana
49,DELAWARE,delaware
50,VERMONT,vermont
51,WYOMING,wyoming
